frequency,fdate,Model,WXID
3,2019/2,U2417Ht,653491
2,2019/1,U2417Ht,648232
2,2019/8,U2417Ht,659514
2,2019/8,U2417Ht,659531
4,2019/6,E2216Hf,763310
2,2019/4,P1914Sf,746578
5,2019/6,E2216Hf,766361
5,2019/7,E2216Hf,771441
5,2019/4,E2216Hf,751321
4,2019/4,P1917Sc,752024
2,2019/4,SE2417HGc,752092
2,2019/4,P2415Qb,752143
2,2019/5,SE2417HGc,756185
2,2019/5,SE2417HGc,759312
3,2019/5,AW3418DWb,759363
2,2019/3,AW3418DWb,743158
2,2019/3,AW3418DWb,741900
2,2019/8,AW3418DWb,785206
3,2019/3,AW3418DWb,741331
2,2019/6,SE2417HGc,765043
2,2019/7,E2316Hf,768102
3,2019/4,E2216Hf,744576
3,2019/4,E2216Hf,749806
3,2019/4,E2216Hf,748658
2,2019/4,E2216Hf,751266
2,2019/6,E2216Hf,761376
2,2019/7,SE2417HGc,770693
2,2019/7,U3419Wb,775658
3,2019/7,SE2417HGc,775675
2,2019/9,SE2417HGc,786788
2,2019/3,U2414Hb,614584
2,2019/3,U2414Hb,622370
1,2019/7,SE2417HGc,692945
2,2019/1,E2316Hf,727424
4,2019/2,E2216Hf,733006
5,2019/3,E2216Hf,740409
3,2019/5,E2216Hf,755517
4,2019/4,E2216Hf,748861
3,2019/2,SE2417HGc,733074
4,2019/2,E2316Hf,733108
2,2019/3,SE2417HGc,737418
4,2019/3,U2414Hb,740277
5,2019/3,U2414Hb,740311
2,2019/3,SE2417HGc,743502
2,2019/3,SE2417HGc,743536
2,2019/3,SE2417HGc,743553
1,2019/4,SE2417HGc,746059
5,2019/4,E2016Hb,748631
7,2019/4,E2016Hb,749988
3,2019/1,E2016Hb,727597
3,2019/4,U3014t,749403
4,2019/4,E2316Hf,751475
2,2019/4,SE2417HGc,751573
1,2019/5,SE2417HGc,755870
2,2019/5,SE2417HGc,758461
1,2019/8,SE2417HGc,713295
2,2019/8,SE2417HGc,715717
4,2019/5,E2216Hf,758670
5,2019/7,E2216Hf,768879
4,2019/8,E2016Hb,781818
5,2019/6,E2016Hb,763536
2,2019/5,AW3418DWb,755722
4,2019/6,AW3418DWb,762306
3,2019/1,E2316Hf,731880
1,2019/1,SE2417HGc,731894
2,2019/2,SE2417HGc,734352
2,2019/3,SE2417HGc,742340
1,2019/4,SE2417HGc,749978
3,2019/5,E2016Hb,758907
2,2019/2,E2016Hb,732628
5,2019/3,E2016Hb,740744
3,2019/8,U2518Dt,781906
5,2019/8,U2518Dt,784582
3,2019/8,P2419Hb,784599
1,2019/8,U2518Dt,784616
3,2019/1,U2518Dt,726422
2,2019/1,U2518Dt,726439
2,2019/1,SE2717Hc,726473
3,2019/1,P2419Hb,731838
4,2019/1,SE2416Hc,731919
2,2019/1,U2518Dt,731953
2,2019/2,U2518Dt,734344
3,2019/3,U2518Dt,736986
1,2019/3,SE2216Hf,739943
2,2019/3,U2518Dt,739960
2,2019/3,U2518Dt,742351
1,2019/4,SE2216Hf,747478
5,2019/4,SE2416Hc,747529
5,2019/4,U2412Mc,749937
5,2019/4,U2518Dt,750052
5,2019/4,SE2416HMc,750086
6,2019/4,P2419Hb,750103
4,2019/4,P2419Hb,752260
2,2019/4,U2518Dt,752341
2,2019/5,U2518Dt,752341
2,2019/5,E2418HNb,754013
2,2019/5,U2518Dt,756570
2,2019/6,SE2216Hf,761701
3,2019/6,SE2717Hc,761752
2,2019/1,AW2518HFb,725544
2,2019/3,AW2518HFb,738399
2,2019/8,AW2518HFb,764726
1,2019/1,AW2518HFb,725748
5,2019/7,U2518Dt,770342
4,2019/8,P2419Hb,778498
5,2019/8,U2518Dt,778515
2,2019/8,P2418HTt,778617
3,2019/7,UP3216Qt,698966
2,2019/1,U2518Dt,726367
5,2019/1,E2016HVf,729075
1,2019/1,E2016HVf,720991
3,2019/1,E2016HVf,719354
4,2019/1,E2016HVf,716696
4,2019/1,E2016HVf,731899
1,2019/1,P2419Hb,729082
3,2019/1,E2418HNb,729118
6,2019/1,SE2416Hc,731976
4,2019/4,S2716DGb,719365
5,2019/1,SP2318Hb,727539
3,2019/1,E2216Hf,726395
5,2019/5,E2216Hf,755537
5,2019/6,E2216Hf,761353
2,2019/1,E2216Hf,724788
4,2019/2,E2216Hf,735441
3,2019/7,E2216Hf,773988
3,2019/5,E2216Hf,759384
2,2019/3,SE2218HV,738006
3,2019/3,SE2218HV,738042
3,2019/3,SE2218HV,740914
6,2019/3,SP2318Hb,740950
3,2019/3,SE2218HV,740993
2,2019/3,SE2218HV,741043
2,2019/3,SE2218HV,743758
2,2019/3,SE2218HV,743772
2,2019/3,SE2218HV,743808
2,2019/3,SE2218HV,743815
5,2019/4,SE2218HV,748788
3,2019/4,SE2218HV,751146
3,2019/4,SE2218HV,751167
2,2019/5,SE2218HV,753118
2,2019/5,SE2218HV,753218
3,2019/5,SE2218HV,757619
5,2019/5,SE2218HV,757712
2,2019/5,SE2218HV,757812
3,2019/6,SE2218HV,760463
3,2019/6,SE2218HV,760520
5,2019/6,SE2218HV,763342
2,2019/6,SE2218HV,766343
3,2019/6,SE2218HV,766436
2,2019/7,SE2218HV,771359
3,2019/8,SE2218HV,771359
2,2019/1,SE2218HV,726313
4,2019/1,SE2218HV,726314
3,2019/1,SE2218HV,726363
2,2019/1,SE2218HV,726364
2,2019/1,SP2318Hb,726413
2,2019/1,SE2218HV,726449
2,2019/1,SE2218HV,729022
3,2019/1,SE2218HV,729072
5,2019/1,SE2218HV,729121
2,2019/1,SP2318Hb,729172
2,2019/8,U2417Ht,659599
2,2019/1,U2417Ht,662340
1,2019/5,S2718HNc,708463
3,2019/1,U2718Qb,713411
2,2019/1,U2417Ht,718424
3,2019/1,U2718Qb,726380
2,2019/1,U2417Ht,726430
2,2019/1,U2718Qb,729038
2,2019/1,U2417Ht,729055
4,2019/1,U2417Ht,729056
3,2019/1,U2417Ht,729106
3,2019/1,E2016HVf,719281
3,2019/1,E2016HVf,729214
2,2019/1,U2417Ht,731945
1,2019/2,U2417Ht,731945
3,2019/1,U2718Qb,731978
2,2019/1,E2216HVf,731995
4,2019/2,U2417Ht,734267
2,2019/2,U2718Qb,734335
2,2019/2,U2417Ht,734404
3,2019/2,E2216HVf,734417
1,2019/2,U2419HSt,736794
1,2019/4,U2419HSt,736794
1,2019/2,U2417Ht,736807
1,2019/3,U2417Ht,736807
1,2019/2,U2417Ht,736808
1,2019/3,U2417Ht,736808
1,2019/2,U2417Ht,736825
1,2019/3,U2417Ht,736825
4,2019/3,U2414Hb,736858
3,2019/3,U2718Qb,736893
6,2019/3,U2718Qb,736926
2,2019/3,U2417Ht,740016
2,2019/3,U2417Ht,740066
4,2019/3,U2417Ht,742291
1,2019/3,U2419HSt,742309
2,2019/4,U2419HSt,742309
1,2019/3,U2419HSt,742406
2,2019/4,U2419HSt,742406
1,2019/3,U2417Ht,742474
4,2019/4,U2417Ht,745164
3,2019/4,E2216HVf,745181
2,2019/4,U2718Qb,747372
2,2019/4,U2417Ht,747453
4,2019/4,U2417Ht,747504
4,2019/4,U2718Qb,750030
1,2019/4,U2718Qb,750047
1,2019/7,U2718Qb,750047
2,2019/5,E2016HVf,743851
5,2019/7,E2016HVf,768847
2,2019/4,U2718Qb,752234
2,2019/5,U2718Qb,752234
6,2019/5,U2417Ht,754124
3,2019/7,U2417Ht,754141
3,2019/5,U2417Ht,754141
5,2019/6,E2016Hb,766716
4,2019/4,E2016Hb,746479
2,2019/4,P2717Ht,752336
2,2019/5,P2717Ht,752336
4,2019/5,E2316Hf,754057
2,2019/5,SE2417HGc,754071
4,2019/5,E2016Hb,757626
3,2019/6,E2016Hb,760598
4,2019/8,E2016Hb,784664
6,2019/5,E2016Hb,753948
4,2019/7,E2216Hf,768058
2,2019/4,E2216Hf,746474
3,2019/8,E2216Hf,747483
5,2019/3,E2216Hf,740967
5,2019/4,E2216Hf,748628
3,2019/7,E2216Hf,772765
3,2019/4,E2216Hf,748799
5,2019/6,E2216Hf,761316
5,2019/3,E2216Hf,737865
4,2019/5,E2216Hf,753976
4,2019/6,E2216Hf,764965
4,2019/7,E2216Hf,770624
3,2019/1,E2216Hf,728674
2,2019/6,E2216Hf,764272
5,2019/7,E2216Hf,774925
3,2019/7,E2216Hf,775059
4,2019/9,E2216Hf,791873
2,2019/8,E2216Hf,776749
2,2019/6,SE2417HGc,764767
2,2019/6,SE2417HGc,764853
4,2019/6,P2415Qb,764868
1,2019/7,P2415Qb,764868
2,2019/7,P2415Qb,767761
2,2019/6,P2415Qb,767761
2,2019/6,E2216Hf,764135
2,2019/7,E2216Hf,772238
5,2019/4,E2216Hf,752067
4,2019/3,E2216Hf,737815
5,2019/7,E2216Hf,768308
5,2019/1,E2216Hf,725954
3,2019/2,E2216Hf,732942
4,2019/1,D3217Ho,725278
4,2019/1,D3217Ho,725499
4,2019/1,D3217Ho,725965
6,2019/1,D3217Ho,726098
2,2019/8,SE2417HGc,778657
6,2019/1,E2216Hf,726083
4,2019/9,E2216Hf,771862
5,2019/7,E2216Hf,769562
2,2019/6,SE2417HGc,666331
3,2019/8,SE2417HGc,700828
3,2019/8,SE2417HGc,700977
4,2019/3,P2717Ht,727535
2,2019/1,SE2417HGc,729857
2,2019/1,SE2417HGc,729907
2,2019/1,SE2417HGc,729922
3,2019/8,SE2417HGc,732579
1,2019/2,E2316Hf,732629
2,2019/1,E2316Hf,732629
1,2019/2,SE2417HGc,732729
1,2019/1,SE2417HGc,732729
2,2019/2,UP2516Dt,735488
4,2019/2,U2414Hb,735524
3,2019/5,E1916HVf,740868
5,2019/7,E1916HVf,775849
3,2019/8,E1916HVf,719207
5,2019/7,E1916HVf,766108
4,2019/4,E1916HVf,749732
4,2019/7,E2016Hb,772915
4,2019/6,E2016Hb,761407
1,2019/4,SE2417HGc,751113
3,2019/5,SE2417HGc,753122
3,2019/5,E2316Hf,753186
2,2019/7,E2216Hf,774999
4,2019/7,E2216Hf,770412
5,2019/1,E2216Hf,727364
5,2019/5,E2216Hf,753899
5,2019/4,E2216Hf,750837
5,2019/9,E2216Hf,788926
2,2019/5,SE2417HGc,757765
2,2019/6,SE2417HGc,760559
1,2019/2,P2419Hb,734341
2,2019/2,U2518Dt,734355
2,2019/3,U2518Dt,740007
2,2019/3,U2518Dt,740057
1,2019/3,P2418HTt,742293
2,2019/3,U2518Dt,742329
2,2019/3,U2518Dt,742336
2,2019/3,SE2216Hf,742422
3,2019/3,U2518Dt,742479
5,2019/4,U2518Dt,745201
3,2019/4,U2518Dt,747352
2,2019/4,U2518Dt,747359
5,2019/4,U2518Dt,749974
4,2019/4,U2518Dt,750017
3,2019/4,U2412Mc,750074
5,2019/5,U2518Dt,754075
5,2019/5,SE2717Hc,754154
6,2019/5,P2419Hb,754168
3,2019/5,U2518Dt,756583
2,2019/5,U2518Dt,756633
2,2019/5,U2518Dt,756683
5,2019/5,U2518Dt,758905
2,2019/5,SE2717Hc,758955
2,2019/6,SE2717Hc,758955
4,2019/5,U2518Dt,759041
2,2019/6,SE2216Hf,761699
3,2019/6,U2518Dt,764764
1,2019/6,SE2216Hf,767808
1,2019/7,SE2216Hf,767808
1,2019/7,U2518Dt,770287
2,2019/7,U2518Dt,770330
1,2019/7,P2418HTt,770337
7,2019/7,SE2416Hc,773238
3,2019/7,SE2717Hc,775753
1,2019/8,SE2717Hc,775753
1,2019/8,U2518Dt,775860
2,2019/7,U2518Dt,775860
5,2019/8,U2518Dt,781133
5,2019/8,U2518Dt,783641
2,2019/8,P2419Hb,783698
3,2019/9,SE2216Hf,682990
2,2019/1,SE2218HV,731994
4,2019/3,SE2218HV,736960
2,2019/3,SE2218HV,739967
3,2019/3,SE2218HV,742289
1,2019/3,SE2218HV,742290
3,2019/3,SE2218HV,742376
2,2019/3,SE2218HV,742389
2,2019/3,SE2218HV,742390
2,2019/3,S2419HMt,742425
2,2019/3,SE2218HV,742489
2,2019/3,SE2218HV,742490
4,2019/4,SP2318Hb,747456
2,2019/4,S2718Hc,749963
4,2019/4,SE2218HV,750063
3,2019/5,SE2218HV,754022
1,2019/9,E1916Hf,779391
3,2019/9,E1916Hf,771468
4,2019/5,SE2218HV,754158
2,2019/5,AW2518Hb,756579
2,2019/5,SE2218HV,756679
2,2019/5,SE2218HV,756680
3,2019/5,SE2218HV,758887
2,2019/6,SE2218HV,761810
2,2019/6,SE2218HV,764768
2,2019/7,SE2218HV,770333
2,2019/7,SE2218HV,770334
4,2019/7,UP2715Kt,775800
4,2019/7,SE2218HV,775850
2,2019/8,SE2218HV,778658
2,2019/8,SE2218HV,778672
4,2019/1,SE2218HV,724792
3,2019/1,SE2218HV,727635
2,2019/1,SE2218HV,729771
2,2019/1,SE2218HV,729808
2,2019/1,S2419HMt,729872
1,2019/1,SP2318Hb,732715
2,2019/3,SE2218HV,738045
3,2019/3,SE2218HV,738046
3,2019/3,SE2218HV,740904
3,2019/3,SE2218HV,741003
2,2019/3,SE2218HV,741039
2,2019/3,SE2218HV,741054
1,2019/8,S2716DGb,746534
2,2019/4,S2716DGb,746534
5,2019/4,SE2218HV,746569
2,2019/4,SE2218HV,748642
4,2019/4,SE2218HV,748742
5,2019/4,SE2218HV,751150
5,2019/5,U2417Ht,756596
2,2019/5,U2718Qb,758935
1,2019/7,U2718Qb,758935
4,2019/5,U2417Ht,758953
5,2019/5,U2417Ht,758986
5,2019/5,U2417Ht,759004
5,2019/5,U2417Ht,759068
1,2019/6,U2417Ht,759068
5,2019/5,U2417Ht,759071
4,2019/6,E2216HVf,761675
5,2019/6,U2417Ht,761679
1,2019/6,U2417Ht,761726
2,2019/7,U2417Ht,761726
5,2019/6,U2417Ht,761761
1,2019/6,U2417Ht,761794
3,2019/7,U2417Ht,761794
3,2019/6,AW3418HWb,764819
4,2019/6,E2216HVf,764870
2,2019/6,U2419HSt,764887
1,2019/6,U2419HSt,767742
1,2019/7,U2419HSt,767742
1,2019/6,U2718Qb,767759
1,2019/7,U2718Qb,767759
1,2019/6,U2412Mc,767760
3,2019/7,U2412Mc,767760
1,2019/6,U2417Ht,767777
2,2019/7,U2417Ht,767777
2,2019/7,E2216HVf,770368
2,2019/7,E2216HVf,770418
6,2019/7,U2417Ht,770435
3,2019/7,U2718Qb,770436
5,2019/7,E2216HVf,770449
4,2019/7,U2417Ht,770453
2,2019/7,U2417Ht,773175
2,2019/7,U2419HSt,773176
2,2019/8,U2417Ht,659620
3,2019/9,U2417Ht,687426
2,2019/9,U2417Ht,718337
5,2019/1,U2417Ht,726302
2,2019/1,U2417Ht,726495
1,2019/1,U2417Ht,729110
3,2019/1,U2417Ht,729169
3,2019/1,U2718Qb,731818
3,2019/7,AW3418DWb,768005
2,2019/6,AW3418DWb,763282
3,2019/6,E2316Hf,763296
2,2019/7,SE2417HGc,768848
6,2019/7,E2216Hf,771720
4,2019/9,E2216Hf,785860
4,2019/4,E2216Hf,749277
4,2019/8,E2216Hf,778857
4,2019/8,E2216Hf,784438
5,2019/7,P1917Sc,771320
4,2019/1,E2216Hf,727400
4,2019/2,E2216Hf,735238
2,2019/6,E2216Hf,766237
2,2019/7,SE2417HGc,776750
5,2019/8,P1917Sc,779457
4,2019/1,E2016Hb,725941
5,2019/4,E2016Hb,751178
3,2019/8,P2717Ht,781965
4,2019/3,E2216Hf,737098
5,2019/8,E2216Hf,778543
3,2019/1,E2216Hf,729212
5,2019/8,E2216Hf,781105
4,2019/8,P1917Sc,784673
4,2019/6,E2016Hb,763303
5,2019/6,E2016Hb,766354
4,2019/3,SE2417HGc,655000
1,2019/6,SE2417HGc,666067
1,2019/6,SE2417HGc,671461
2,2019/7,SE2417HGc,690968
2,2019/3,U2414Hb,703935
1,2019/1,P2717Ht,726128
2,2019/3,P2717Ht,726128
4,2019/6,E2216Hf,767901
3,2019/9,E2216Hf,786521
2,2019/3,SE2417HGc,737645
3,2019/3,E2216Hf,739342
4,2019/7,E2216Hf,768987
4,2019/7,E2216Hf,776241
3,2019/3,P1917Sc,743576
2,2019/3,SE2417HGc,743661
2,2019/3,SE2417HGc,743711
1,2019/9,SE2417HGc,745884
1,2019/4,SE2417HGc,745884
2,2019/4,U3415Wb,745984
3,2019/4,E2316Hf,748891
2,2019/4,SE2417HGc,748942
3,2019/8,E2216Hf,778849
5,2019/2,E2216Hf,733744
4,2019/4,E2216Hf,749852
5,2019/2,E2216Hf,734778
5,2019/7,E2216Hf,768011
3,2019/3,E2216Hf,741883
3,2019/5,SE2417HGc,753536
2,2019/3,U2414Hb,613982
2,2019/7,SE2417HGc,690926
2,2019/8,SE2417HGc,703260
1,2019/8,SE2417HGc,724784
2,2019/1,SE2417HGc,729847
2,2019/1,SE2417HGc,729864
2,2019/1,SE2417HGc,729932
2,2019/2,U2414Hb,732587
3,2019/1,U2414Hb,732587
3,2019/2,E2316Hf,735463
1,2019/2,U3419Wb,735480
1,2019/4,U3419Wb,735480
1,2019/3,SE2417HGc,740879
1,2019/9,SE2417HGc,740879
3,2019/3,E198WFPf,741011
2,2019/1,U2518Dt,729861
2,2019/1,U2518Dt,729904
1,2019/2,P2419Hb,732669
1,2019/1,P2419Hb,732669
1,2019/2,P2419Hb,732676
1,2019/1,P2419Hb,732676
1,2019/2,P2419Hb,732683
1,2019/1,P2419Hb,732683
4,2019/3,SE2416Hc,737942
3,2019/3,P2715Qt,740864
2,2019/3,P2715Qt,740907
2,2019/3,P2419Hb,743822
3,2019/4,P2418HTt,746430
4,2019/4,E2418HNb,746523
1,2019/4,SE2216Hf,748638
4,2019/5,U2518Dt,755540
4,2019/5,P2419Hb,757719
8,2019/6,U2518Dt,763328
2,2019/6,U2518Dt,763371
3,2019/6,U2518Dt,763378
3,2019/6,U2518Dt,766336
5,2019/6,U2518Dt,766393
4,2019/6,P2419Hb,766429
2,2019/7,SE2216Hf,771373
1,2019/1,AW2518HFb,726253
2,2019/1,AW2518HFb,726351
2,2019/7,SE2416HMc,776646
3,2019/8,SE2416HMc,776646
4,2019/8,P2419Hb,776696
1,2019/7,P2419Hb,776696
1,2019/7,P2419Hb,776732
2,2019/8,P2419Hb,776732
2,2019/7,U2412Mc,776746
2,2019/8,U2412Mc,776746
2,2019/8,U2518Dt,779504
6,2019/8,P2419Hb,779547
3,2019/8,SE2416HMc,784570
3,2019/7,P2416Db,703555
2,2019/1,SE2216Hf,726369
1,2019/1,P2419Hb,726394
2,2019/1,U2518Dt,726476
3,2019/1,U2518Dt,731831
5,2019/2,SE2416HMc,734296
3,2019/2,U2518Dt,734364
2,2019/2,U2518Dt,734389
5,2019/3,E2418HNb,736904
3,2019/4,SE2218HV,751199
5,2019/4,SE2218HV,751200
2,2019/5,SE2218HV,753085
2,2019/5,SE2218HV,753121
2,2019/5,SE2218HV,753135
3,2019/5,SE2218HV,753222
2,2019/5,SE2218HV,757715
2,2019/5,SE2218HV,757751
3,2019/6,SE2218HV,760424
4,2019/6,SP2318Hb,763382
2,2019/6,SE2218HV,766375
1,2019/9,S2716DGb,766389
1,2019/6,S2716DGb,766389
2,2019/7,SE2218HV,771355
2,2019/7,SE2218HV,773877
3,2019/7,SE2218HV,774027
1,2019/7,SE2218HV,776600
1,2019/8,SE2218HV,776600
1,2019/7,SE2218HV,776635
3,2019/8,SE2218HV,776635
3,2019/4,S2716DGb,705883
3,2019/1,S2419HMt,726339
