frequency,fdate,Model,WXID
3,2018/1,U2417Ht,644221
2,2018/5,SE2417HGc,665414
2,2018/5,AW3418DWb,668122
2,2018/6,SE2417HGc,673787
2,2018/6,SE2417HGc,676609
1,2018/7,SE2417HGc,676610
1,2018/6,SE2417HGc,676610
4,2018/7,E2316Hf,679853
3,2018/7,E2316Hf,679918
6,2018/7,U2414Hb,682475
6,2018/7,D3217Ho,682512
2,2018/7,SE2417HGc,682575
4,2018/7,P2717Ht,682612
2,2018/8,SE2417HGc,688391
3,2018/8,E2316Hf,688477
4,2018/8,E2316Hf,688478
4,2018/8,E2316Hf,691250
4,2018/8,E2316Hf,694043
4,2018/8,U2414Hb,694093
3,2018/9,P2717Ht,697116
4,2018/9,E2316Hf,699773
4,2018/9,E2016Hb,699823
4,2018/9,E2016Hb,699824
2,2018/10,SE2417HGc,703917
2,2018/10,SE2417HGc,703918
3,2018/10,SE2417HGc,703953
2,2018/10,SE2417HGc,703954
7,2018/10,D3217Ho,703967
3,2018/10,U2414Hb,706826
4,2018/10,E2316Hf,706862
4,2018/10,E2316Hf,706975
5,2018/1,P2717Ht,645894
1,2018/1,E2316Hf,644890
3,2018/1,S2318Mc,647783
3,2018/2,E2417Hb,650555
4,2018/3,E2417Hb,653749
2,2018/3,U2515Hc,653850
2,2018/3,U2515Hc,653899
3,2018/5,U2515Hc,653899
4,2018/6,U2515Hc,669590
4,2018/7,E2417Hb,681858
3,2018/7,S2318Mc,681993
4,2018/7,E2316Hf,684865
3,2018/8,E2417Hb,687859
2,2018/8,E2417Hb,693825
2,2018/8,E2417Hb,693826
2,2018/8,E2417Hb,693839
4,2018/9,E2417Hb,696833
4,2018/9,E2316Hf,696898
5,2018/9,E2417Hb,699506
2,2018/9,S2318Mc,702550
1,2018/10,S2318Mc,702550
3,2018/10,E2316Hf,708115
3,2018/11,U2412Mb,711424
5,2018/11,E2417Hb,711473
2,2018/3,U2515Hc,641982
4,2018/1,E2417Hb,648769
3,2018/3,E2316Hf,654950
4,2018/4,E2417Hb,657994
3,2018/4,E2417Hb,660901
4,2018/5,E1715Sc,666582
3,2018/6,E2417Hb,669676
5,2018/6,E2417Hb,675842
4,2018/7,U2515Hc,679050
5,2018/7,U2515Hc,681693
1,2018/9,U2515Hc,699341
3,2018/11,U2515Hc,699341
4,2018/9,E2316Hf,699391
3,2018/9,E2417Hb,699406
2,2018/9,S2318Mc,702299
1,2018/1,P2317Hb,644875
4,2018/3,P2317Hb,653814
2,2018/4,U2717Dt,656907
2,2018/4,U2717Dt,656908
3,2018/5,P2414Hb,663074
5,2018/5,P2414Hb,666317
2,2018/6,U2414Hb,669475
3,2018/6,S2218Hc,676227
2,2018/7,U2717Dt,684801
4,2018/8,S2718Dt,684916
4,2018/8,P2414Hb,687860
6,2018/8,E2417Hb,687874
2,2018/8,U2717Dt,690881
4,2018/8,S2718Dt,690918
4,2018/9,U2414Hb,699542
2,2018/10,U2717Dt,702600
3,2018/10,S2718Dt,705457
2,2018/10,U2717Dt,705458
4,2018/10,P2317Hb,708179
2,2018/1,P2417Hb,644639
3,2018/1,U2717Dt,644689
3,2018/2,P2317Hb,651777
4,2018/3,E1916Hf,654935
4,2018/3,P2317Hb,654986
2,2018/5,U2414Hb,663910
5,2018/6,E2417Hb,672648
4,2018/6,U2414Hb,675991
3,2018/7,P2317Hb,679049
3,2018/7,P2317Hb,681757
5,2018/7,U2717Dt,681758
2,2018/7,U2717Dt,684366
3,2018/7,P2317Hb,684430
2,2018/8,U2717Dt,690431
2,2018/9,S2718Dt,696783
5,2018/9,U2717Dt,696784
4,2018/10,P2414Hb,705622
5,2018/10,P2414Hb,708316
3,2018/1,SP2318Hb,644840
2,2018/1,SE2218HV,647797
2,2018/1,SE2218HV,647798
2,2018/2,S2716DGb,650420
2,2018/4,SP2318Hb,656771
3,2018/6,SE2218HV,672798
2,2018/6,S2716DGb,672919
2,2018/6,SE2218HV,676191
2,2018/6,SE2218HV,676192
3,2018/6,SE2218HV,676228
1,2018/7,AW2518Hb,681943
2,2018/7,SE2218HV,682043
2,2018/7,SE2218HV,682044
2,2018/7,S2716DGb,684815
3,2018/7,SE2218HV,684851
2,2018/8,SE2218HV,690818
2,2018/8,SE2218HV,690832
3,2018/8,SE2218HV,690932
1,2018/8,S2716DGb,693926
3,2018/8,SE2218HV,693975
5,2018/9,E2216Hf,696798
2,2018/9,SE2218HV,696933
5,2018/9,SE2218HV,696983
2,2018/9,SE2218HV,702563
2,2018/10,SE2218HV,702563
3,2018/10,SP2318Hb,705321
4,2018/10,SE2218HV,705371
2,2018/10,SE2218HV,708215
6,2018/1,E1914Hc,642082
1,2018/1,SE2218HV,644640
3,2018/1,SP2318Hb,648619
3,2018/2,SP2318Hb,648619
2,2018/2,U2412Mc,651827
2,2018/3,U2412Mc,651827
2,2018/2,SE2218HV,651927
2,2018/3,SE2218HV,654900
4,2018/5,E2216Hf,666567
2,2018/6,AW2518Hb,672583
3,2018/6,E1916Hf,672684
6,2018/6,SE2218HV,675941
2,2018/8,SE2218HV,693539
2,2018/8,SE2218HV,693540
4,2018/9,SE2218HV,696597
3,2018/9,SE2218HV,696697
3,2018/9,SE2218HV,699355
2,2018/1,SP2418Hb,644775
2,2018/1,P2314Ht,644790
3,2018/1,S2418HNt,647648
5,2018/2,P2314Ht,650591
2,2018/5,SP2418Hb,660301
2,2018/4,SP2418Hb,660301
2,2018/5,SE2416Hc,666231
2,2018/6,SE2018HV,666417
2,2018/5,SE2018HV,666417
2,2018/6,SE2416Hc,669425
2,2018/6,SE2416Hc,669426
2,2018/6,U2415b,669476
2,2018/6,SE2416Hc,669489
2,2018/6,S2418HNt,669525
2,2018/6,SP2418Hb,672884
4,2018/6,E1715Sc,672934
4,2018/6,P2314Ht,676091
2,2018/6,SE2416Hc,676092
2,2018/7,U2415b,679385
2,2018/11,U2415b,679385
2,2018/7,SE2416Hc,682007
2,2018/8,AW2518HFb,687909
3,2018/12,U2415b,687973
2,2018/8,U2415b,687973
2,2018/8,SE2416Hc,690867
2,2018/8,SE2416Hc,690967
1,2018/9,SE2018HV,696883
2,2018/11,SE2018HV,696883
5,2018/9,SP2418Hb,699556
2,2018/9,SE2416Hc,699605
2,2018/9,SE2416Hc,699606
1,2018/9,SE2018HV,699641
2,2018/11,SE2018HV,699641
2,2018/10,SE2416Hc,702649
2,2018/10,SE2416Hc,705421
4,2018/11,SP2418Hb,711438
1,2018/1,SE2416Hc,624033
2,2018/4,SE2416Hc,642017
1,2018/1,P2314Ht,644590
4,2018/1,P2314Ht,648634
4,2018/4,SE1918HVf,657943
2,2018/4,SE2416Hc,661052
1,2018/12,SE2416Hc,661052
2,2018/5,SE2018HV,663810
1,2018/6,SE2018HV,663810
2,2018/5,SP2418Hb,666482
4,2018/5,P2314Ht,666618
3,2018/6,P2314Ht,669690
5,2018/6,P2314Ht,669740
2,2018/6,AW2518HFb,672584
5,2018/2,SE2416HMc,650605
5,2018/4,D3216Ho,660215
3,2018/6,E2214Hb,676077
4,2018/8,SE2416HMc,687924
5,2018/9,SE2416HMc,699555
6,2018/11,P2417Hb,711374
4,2018/1,P2417Hb,648734
3,2018/1,S2316Mc,648783
4,2018/3,S2316Mc,654936
3,2018/3,SE2416HMc,654985
5,2018/3,S2316Mc,655086
4,2018/4,P2417Hb,658043
5,2018/5,S2316Mc,666468
3,2018/6,P2417Hb,669725
2,2018/6,SE2416HMc,672598
3,2018/6,P2417Hb,672634
1,2018/6,E2416Hb,675892
1,2018/11,E2416Hb,675892
3,2018/7,SE2416HMc,681658
3,2018/7,P2417Hb,684416
4,2018/8,P2417Hb,687559
4,2018/8,SE2416HMc,693475
3,2018/12,D3216Ho,696633
7,2018/9,D3216Ho,696633
4,2018/10,E2416Hb,708415
4,2018/10,U2913WMt,708430
2,2018/11,SE2416HMc,711188
5,2018/1,S2316Mc,645911
5,2018/1,S2316Mc,648884
2,2018/4,S2417DGb,657693
2,2018/8,S2417DGb,657693
3,2018/5,P2417Hb,666032
5,2018/7,U2417Ht,679954
4,2018/7,U2417Ht,682561
4,2018/7,U2414Hb,682626
4,2018/7,E2216HVf,685333
5,2018/7,U2417Ht,685334
1,2018/8,U2417Ht,685334
2,2018/7,U2417Ht,685420
1,2018/8,U2417Ht,685420
2,2018/7,U2718Qb,685434
1,2018/8,U2718Qb,685434
3,2018/8,U2417Ht,688377
4,2018/8,U2417Ht,688491
4,2018/8,P2217Hb,688527
3,2018/8,U2718Qb,688542
2,2018/8,U2417Ht,688577
3,2018/8,U2718Qb,691185
5,2018/8,U2417Ht,691200
8,2018/8,U2414Hb,691249
2,2018/8,E2016HVf,691300
3,2018/9,E2016HVf,691300
2,2018/8,U2414Hb,691335
5,2018/8,U2414Hb,694008
2,2018/8,U2718Qb,694057
1,2018/8,U2417Ht,694058
4,2018/8,U2417Ht,694107
2,2018/8,U2718Qb,694143
2,2018/9,U2718Qb,694143
3,2018/8,U2417Ht,694193
2,2018/8,U2417Ht,694194
5,2018/9,U2417Ht,697016
5,2018/9,E2216HVf,699709
3,2018/10,U2414Hb,703818
4,2018/10,U2417Ht,703868
2,2018/10,AW3418HWb,706861
2,2018/10,U2718Qb,706875
3,2018/10,U2718Qb,706876
3,2018/1,P2217Hb,645893
3,2018/1,U2417Ht,648801
3,2018/1,U3014t,645994
2,2018/1,E2216Hf,648851
4,2018/1,S2240Mc,648852
6,2018/2,E2216Hf,651710
1,2018/3,P2717Ht,654617
3,2018/3,D3217Ho,654618
2,2018/3,E2316Hf,654667
2,2018/4,SE2417HGc,657676
3,2018/4,E2216Hf,660533
3,2018/4,E2216Hf,660534
1,2018/4,SE2417HGc,660633
2,2018/5,SE2417HGc,663292
2,2018/5,SE2417HGc,663306
2,2018/5,SE2417HGc,663341
1,2018/5,SE2417HGc,663391
3,2018/6,P2415Qb,671879
5,2018/6,U2414Hb,671880
2,2018/6,SE2417HGc,675459
5,2018/7,E2016Hb,678668
2,2018/7,SE2417HGc,678681
2,2018/7,E2016Hb,681525
2,2018/7,SE2417HGc,681589
3,2018/7,E2016Hb,684147
3,2018/7,E2016Hb,684148
2,2018/8,SE2417HGc,690049
2,2018/8,SE2417HGc,690063
4,2018/9,E2316Hf,695529
4,2018/9,E2316Hf,695544
3,2018/9,SE2417HGc,695679
2,2018/9,SE2417HGc,695680
5,2018/9,E2216Hf,698288
4,2018/9,U2414Hb,698337
4,2018/9,E2316Hf,701195
5,2018/9,E2216Hf,701296
4,2018/10,U2414Hb,704054
3,2018/10,SE2417HGc,706725
2,2018/10,AW3418DWb,706812
5,2018/1,D3217Ho,647095
4,2018/1,P2414Hb,646011
3,2018/1,P2317Hb,646025
4,2018/1,P2414Hb,648934
3,2018/2,P2414Hb,651577
5,2018/4,P2317Hb,657543
3,2018/4,P2317Hb,660566
4,2018/4,P2417Hb,660602
5,2018/6,P2417Hb,675391
4,2018/6,P2217Hb,675441
3,2018/7,U2717Dt,681472
3,2018/7,U2717Dt,681557
2,2018/7,S2718Dt,681558
4,2018/1,P2217Hb,646226
4,2018/3,P2414Hb,655286
2,2018/4,U2717Dt,658143
3,2018/4,U2717Dt,658144
2,2018/4,U2717Dt,658158
2,2018/4,U2717Dt,661116
1,2018/5,U2717Dt,661116
4,2018/5,P2317Hb,664345
4,2018/5,P2417Hb,664510
5,2018/6,U2717Dt,667218
2,2018/5,U2717Dt,667218
2,2018/5,U2713Hb,667268
2,2018/6,U2713Hb,667268
5,2018/6,E1916Hf,672383
5,2018/6,P2414Hb,672384
4,2018/6,U2717Dt,672398
7,2018/6,P2414Hb,675491
6,2018/7,P2417Hb,681407
3,2018/7,P2317Hb,681457
4,2018/7,U2717Dt,684715
1,2018/8,U2717Dt,684715
3,2018/8,U2717Dt,690632
2,2018/9,E2316Hf,702363
2,2018/10,E2316Hf,702363
1,2018/9,E2316Hf,702414
3,2018/10,E2316Hf,702414
2,2018/9,E2316Hf,702499
4,2018/10,E2316Hf,702499
4,2018/10,E2316Hf,705608
4,2018/11,E2316Hf,711323
3,2018/1,U2515Hc,639995
2,2018/3,E1910Hc,645961
2,2018/1,E1910Hc,645961
5,2018/1,E2316Hf,645975
1,2018/1,U2515Hc,645976
1,2018/5,U2515Hc,645976
1,2018/2,U2515Hc,651642
1,2018/5,U2515Hc,651642
2,2018/3,U2515Hc,654600
3,2018/5,U2515Hc,654600
2,2018/3,E1916HVf,654650
2,2018/4,S2318Mc,657657
5,2018/6,E2417Hb,671797
1,2018/7,U2515Hc,675306
1,2018/6,U2515Hc,675306
5,2018/6,E2316Hf,675356
1,2018/6,U2515Hc,675456
2,2018/7,U2515Hc,675456
3,2018/8,E2417Hb,690082
1,2018/8,U2515Hc,692704
3,2018/9,U2515Hc,692704
5,2018/8,E2316Hf,692790
4,2018/9,E2316Hf,695562
4,2018/9,E2417Hb,695597
6,2018/9,E2417Hb,695662
5,2018/9,E2417Hb,698219
6,2018/10,E2417Hb,703986
5,2018/10,P2317Hb,704021
3,2018/11,U2412Mb,710102
2,2018/10,U2412Mb,710102
4,2018/11,E2316Hf,710151
1,2018/5,U2515Hc,643253
1,2018/2,E2417Hb,652127
1,2018/3,E2417Hb,652127
2,2018/2,E2417Hb,652128
3,2018/5,U2515Hc,664359
1,2018/3,SE2416HMc,617204
2,2018/1,SE2717Hc,646554
2,2018/1,SE2416Hc,646605
1,2018/3,SE2416Hc,646605
2,2018/1,SE2416HMc,649477
3,2018/2,SE2416HMc,649477
2,2018/3,SE2717Hc,655644
1,2018/3,U2518Dt,655693
1,2018/7,U2518Dt,655693
2,2018/4,U2518Dt,658535
2,2018/4,SE2717Hc,658537
2,2018/4,U2518Dt,658601
2,2018/5,SE2717Hc,664217
4,2018/6,SE2717Hc,664217
6,2018/5,SE2416Hc,667025
2,2018/6,SE2717Hc,669284
2,2018/6,SE2216Hf,669297
3,2018/6,U2518Dt,672190
2,2018/6,U2518Dt,672192
4,2018/6,SE2416HMc,675100
3,2018/7,SE2216Hf,678021
3,2018/7,SE2416Hc,678057
2,2018/7,U2518Dt,678172
2,2018/8,U2518Dt,678172
4,2018/7,E2418HNb,684273
1,2018/7,SE2717Hc,684288
1,2018/9,SE2717Hc,684288
2,2018/7,SE2717Hc,684358
5,2018/8,U2518Dt,690204
2,2018/8,U2518Dt,692882
4,2018/8,U2412Mc,693046
5,2018/9,U2518Dt,695890
4,2018/9,U2518Dt,696005
2,2018/9,SE2216Hf,696039
3,2018/9,U2518Dt,701855
2,2018/10,U2518Dt,705114
2,2018/10,SE2717Hc,705214
2,2018/10,SE2717Hc,705263
2,2018/10,SE2717Hc,705265
2,2018/10,U2518Dt,708658
2,2018/10,SE2717Hc,708724
1,2018/2,U2518Dt,639009
2,2018/1,U2518Dt,647683
2,2018/4,U2518Dt,647683
4,2018/2,SE2416HMc,650505
5,2018/3,SE2416Hc,653764
3,2018/3,E2418HNb,653849
2,2018/4,SE2717Hc,660165
1,2018/9,SE2218HV,702313
1,2018/10,SE2218HV,702313
2,2018/9,SE2218HV,702314
4,2018/10,E1916Hf,702364
1,2018/9,SE2218HV,702450
2,2018/10,SE2218HV,702450
3,2018/10,SE2218HV,708379
2,2018/11,S2419HMt,708416
2,2018/10,S2419HMt,708416
2,2018/11,SP2318Hb,711238
2,2018/1,U2412Mc,646012
2,2018/1,E2216Hf,648883
1,2018/2,SP2318Hb,651627
1,2018/3,SP2318Hb,651627
3,2018/3,SE2218HV,654499
4,2018/3,SE2218HV,654635
2,2018/5,SP2318Hb,665882
3,2018/6,S2716DGb,669025
4,2018/6,SE2218HV,675305
4,2018/7,S2340Mc,678699
2,2018/11,S2716DGb,678735
3,2018/7,U2412Mc,684079
4,2018/8,SE2218HV,687138
5,2018/8,SE2218HV,687238
2,2018/8,SE2218HV,689981
3,2018/8,SE2218HV,689982
2,2018/8,SE2218HV,690031
2,2018/8,SE2218HV,690032
5,2018/8,SE2218HV,692740
7,2018/8,SE2218HV,692803
2,2018/9,S2716DGb,698320
2,2018/10,E1916Hf,704121
3,2018/11,E1916Hf,704121
4,2018/10,SE2218HV,706658
2,2018/10,SE2218HV,706743
2,2018/10,SE2218HV,706758
2,2018/11,SE2218HV,710087
1,2018/2,E1916Hf,648855
1,2018/3,E1916Hf,648855
4,2018/1,SE2218HV,648898
3,2018/3,E1715Sc,654571
3,2018/4,SE2218HV,660580
2,2018/5,SE2218HV,668868
3,2018/6,SE2218HV,668868
3,2018/6,SE2218HV,669018
2,2018/10,U2717Dt,707965
5,2018/11,P2417Hb,714245
2,2018/1,U2717Dt,645675
2,2018/1,U2717Dt,645676
1,2018/7,UP2718Qt,635063
2,2018/1,P2414Hb,644156
4,2018/1,P2414Hb,647028
4,2018/1,P2414Hb,647146
2,2018/1,S2718Dt,647164
4,2018/4,U2717Dt,659013
5,2018/5,P2417Hb,661871
2,2018/5,P2414Hb,662003
2,2018/5,U2717Dt,664961
5,2018/6,U2717Dt,670610
4,2018/6,P2414Hb,670760
4,2018/6,U2717Dt,673500
2,2018/6,P2317Hb,676494
2,2018/7,P2317Hb,676494
1,2018/6,S2718Dt,676512
1,2018/7,S2718Dt,676512
1,2018/7,P2414Hb,679801
5,2018/7,U2717Dt,682327
3,2018/7,P2414Hb,682395
6,2018/7,U2717Dt,685267
3,2018/7,E1916Hf,685285
3,2018/9,E1916Hf,685285
4,2018/8,P2414Hb,688258
5,2018/10,P2417Hb,703583
2,2018/10,S2718Dt,706524
7,2018/10,P2317Hb,706592
3,2018/10,S2718Dt,709081
4,2018/11,P2414Hb,711872
4,2018/1,P2417Hb,645892
3,2018/1,D2015Hf,645942
2,2018/1,U2717Dt,648835
3,2018/1,E1916Hf,648917
5,2018/2,E2417Hb,651640
3,2018/2,U2414Hb,650253
5,2018/2,D3217Ho,650290
3,2018/2,D3217Ho,650321
3,2018/3,E2316Hf,656005
4,2018/4,P2717Ht,658995
3,2018/4,E2216Hf,659064
4,2018/5,E2216Hf,661821
4,2018/5,D3217Ho,661935
4,2018/5,D3217Ho,661939
3,2018/5,E2316Hf,665062
5,2018/5,D3217Ho,667769
1,2018/5,U2414Hb,667819
4,2018/5,U2414Hb,667888
4,2018/6,E2216Hf,670627
4,2018/6,E2316Hf,670695
3,2018/6,E2316Hf,670709
2,2018/6,SE2417HGc,673554
4,2018/6,S2240Mc,673618
2,2018/6,SE2417HGc,676562
4,2018/7,P2415Qb,679720
3,2018/7,E2316Hf,679770
4,2018/7,E2316Hf,679784
2,2018/7,SE2417HGc,679787
4,2018/7,E2316Hf,682460
2,2018/7,SE2417HGc,685132
3,2018/7,E2316Hf,685217
4,2018/8,P2714Hc,688211
3,2018/8,E2216Hf,688361
2,2018/8,SE2417HGc,690683
4,2018/8,E2016Hb,690734
3,2018/8,U3415Wb,693641
4,2018/8,E2016Hb,693674
4,2018/8,E2016Hb,693692
1,2018/9,SE2417HGc,700626
5,2018/9,D3217Ho,700758
4,2018/10,E2316Hf,703452
3,2018/1,U2417Ht,648802
2,2018/1,E2016HVf,641932
1,2018/1,E2216HVf,644825
5,2018/2,U2417Ht,650455
2,2018/3,E2016HVf,653800
1,2018/5,E2016HVf,653800
4,2018/3,U2417Ht,653864
1,2018/5,E2016HVf,653913
1,2018/3,E2016HVf,653913
2,2018/4,U2417Ht,656772
2,2018/4,U2417Ht,656807
2,2018/4,U2417Ht,656808
4,2018/4,U2417Ht,656821
3,2018/4,U2417Ht,656822
2,2018/4,U2417Ht,656857
3,2018/4,U2417Ht,656858
2,2018/4,U2417Ht,656871
3,2018/4,U2417Ht,656872
2,2018/4,U2417Ht,656922
3,2018/4,U2417Ht,656957
2,2018/4,U2417Ht,656958
5,2018/4,E2213Hb,660251
5,2018/5,U2718Qb,663023
4,2018/5,U2417Ht,663159
5,2018/5,U2417Ht,663173
3,2018/5,U2414Hb,666267
2,2018/5,E1913Sc,666281
2,2018/7,E1913Sc,666281
5,2018/6,U2417Ht,669576
2,2018/6,U2718Qb,672834
4,2018/6,E2216HVf,676027
2,2018/6,U2718Qb,676042
1,2018/7,U2718Qb,676042
3,2018/6,U2417Ht,676127
2,2018/6,U2417Ht,676141
2,2018/7,U2414Hb,679249
3,2018/7,U2417Ht,679250
6,2018/7,U2417Ht,679386
2,2018/7,U2417Ht,684751
2,2018/7,U2718Qb,684816
4,2018/7,U2417Ht,684901
5,2018/8,U2417Ht,687910
2,2018/6,SE2717Hc,660165
3,2018/5,U2412Mc,663073
2,2018/5,U2518Dt,663174
2,2018/7,U2518Dt,663174
2,2018/5,U2518Dt,666232
2,2018/5,SE2216Hf,666282
1,2018/5,SE2216Hf,666381
2,2018/6,U2518Dt,669439
2,2018/6,U2518Dt,669440
2,2018/6,U2518Dt,669540
3,2018/6,SE2416HMc,669626
6,2018/6,SE2416Hc,672748
3,2018/6,U2518Dt,672833
2,2018/6,U2518Dt,672933
2,2018/6,SE2717Hc,676142
2,2018/7,U2518Dt,681843
2,2018/7,U2518Dt,681857
2,2018/8,U2518Dt,681857
4,2018/7,E2418HNb,684915
2,2018/8,U2412Mc,687873
2,2018/8,SE2717Hc,690817
2,2018/8,U2518Dt,690868
3,2018/10,SE2717Hc,702599
4,2018/10,SE2717Hc,702613
2,2018/10,SE2717Hc,702614
4,2018/10,U2518Dt,708165
5,2018/11,S2216Mc,711373
3,2018/6,SE2216Hf,633007
1,2018/4,U2412Mc,655085
1,2018/3,U2412Mc,655085
2,2018/4,E1916HVf,658093
1,2018/4,SE2416Hc,660951
1,2018/5,SE2416Hc,660951
4,2018/5,SE2416HMc,666431
2,2018/5,U2518Dt,666517
3,2018/5,SE2717Hc,666518
2,2018/5,U2518Dt,666531
2,2018/5,U2518Dt,666532
4,2018/6,U2412Mc,669776
4,2018/6,E2016HVf,672683
2,2018/6,P2416Db,675927
2,2018/8,P2416Db,675927
3,2018/8,SE2717Hc,679200
1,2018/7,SE2717Hc,679200
2,2018/7,U2518Dt,681793
3,2018/7,U2518Dt,681808
4,2018/7,SE2717Hc,684551
4,2018/8,U2412Mc,687509
2,2018/6,SP2318Hb,671862
4,2018/7,SE2218HV,678728
3,2018/7,SP2318Hb,678821
4,2018/7,U2412Mc,681629
5,2018/7,S2340Mc,684044
1,2018/7,S2716DGb,684194
4,2018/8,SE2218HV,687102
1,2018/8,S2716DGb,687145
2,2018/8,SP2318Hb,689960
2,2018/8,SE2218HV,690010
3,2018/10,E1916Hf,698298
1,2018/9,E1916Hf,698298
4,2018/9,SE2218HV,701299
3,2018/10,SE2218HV,704050
5,2018/10,SE2218HV,704057
2,2018/10,SE2218HV,706722
2,2018/10,SE2218HV,706765
2,2018/10,E2216Hf,710066
3,2018/11,E2216Hf,710066
3,2018/11,SE2218HV,710130
2,2018/11,SE2218HV,712824
2,2018/9,E2015HVf,638316
2,2018/1,U2412Mc,644361
2,2018/2,S2716DGb,650091
3,2018/2,SP2318Hb,650127
2,2018/2,SP2318Hb,650134
2,2018/2,S2716DGb,650141
4,2018/2,SE2218HV,650234
3,2018/3,SE2218HV,653099
1,2018/4,AW2518Hb,659251
3,2018/7,AW2518Hb,659251
2,2018/5,SE2218HV,662252
2,2018/5,SE2218HV,662259
4,2018/5,SE2218HV,662302
2,2018/5,SP2318Hb,662359
4,2018/6,U2412Mc,670983
1,2018/6,AW2518Hb,676656
1,2018/7,AW2518Hb,676656
2,2018/7,SE2218HV,685423
2,2018/8,SE2218HV,685423
2,2018/8,SE2218HV,688381
2,2018/8,SE2218HV,688395
2,2018/8,SE2218HV,688438
3,2018/8,SE2218HV,688488
7,2018/8,SE2218HV,688524
4,2018/6,P2314Ht,675977
2,2018/7,U2415b,679199
2,2018/11,U2415b,679199
2,2018/7,U2415b,681807
4,2018/7,S2418HNt,684465
2,2018/7,S2318Hc,684515
2,2018/7,S2318Hc,684516
6,2018/8,P2314Ht,687474
4,2018/8,P2314Ht,687573
1,2018/8,U2415b,687609
2,2018/11,U2415b,687609
2,2018/8,P2314Ht,687623
3,2018/8,SE2416Hc,690331
3,2018/8,SE2416Hc,690332
4,2018/8,SP2418Hb,693440
1,2018/8,S2418HNt,693575
3,2018/9,AW2518HFb,696683
2,2018/9,AW2518HFb,696684
2,2018/9,SE2416Hc,696734
1,2018/11,SE2018HV,699405
2,2018/9,SE2018HV,699405
2,2018/10,U2415b,705508
1,2018/10,P2319Hc,705521
1,2018/11,P2319Hc,705521
4,2018/10,SP2418Hb,708279
1,2018/4,SE2416Hc,627728
2,2018/1,SE2018HV,639895
2,2018/1,SE2018HV,640009
1,2018/4,SE2416Hc,643003
2,2018/1,SE2018HV,646026
1,2018/4,SE2018HV,646026
2,2018/1,SP2418Hb,648919
2,2018/2,SP2418Hb,648919
2,2018/3,U2413f,654599
2,2018/5,U2415b,665896
1,2018/5,SE2018HV,668989
1,2018/6,SE2018HV,668989
